name,url
Turkmenistan,https://www.gov.uk/foreign-travel-advice/turkmenistan
Iran,https://www.gov.uk/foreign-travel-advice/iran
Syria,https://www.gov.uk/foreign-travel-advice/syria
Armenia,https://www.gov.uk/foreign-travel-advice/armenia
Sweden,https://www.gov.uk/foreign-travel-advice/sweden
Belarus,https://www.gov.uk/foreign-travel-advice/belarus
Ukraine,https://www.gov.uk/foreign-travel-advice/ukraine
Poland,https://www.gov.uk/foreign-travel-advice/poland
Austria,https://www.gov.uk/foreign-travel-advice/austria
Hungary,https://www.gov.uk/foreign-travel-advice/hungary
Moldova,https://www.gov.uk/foreign-travel-advice/moldova
Romania,https://www.gov.uk/foreign-travel-advice/romania
Lithuania,https://www.gov.uk/foreign-travel-advice/lithuania
Latvia,https://www.gov.uk/foreign-travel-advice/latvia
Estonia,https://www.gov.uk/foreign-travel-advice/estonia
Germany,https://www.gov.uk/foreign-travel-advice/germany
Bulgaria,https://www.gov.uk/foreign-travel-advice/bulgaria
Greece,https://www.gov.uk/foreign-travel-advice/greece
Turkey,https://www.gov.uk/foreign-travel-advice/turkey
Albania,https://www.gov.uk/foreign-travel-advice/albania
Croatia,https://www.gov.uk/foreign-travel-advice/croatia
Switzerland,https://www.gov.uk/foreign-travel-advice/switzerland
Luxembourg,https://www.gov.uk/foreign-travel-advice/luxembourg
Belgium,https://www.gov.uk/foreign-travel-advice/belgium
Netherlands,https://www.gov.uk/foreign-travel-advice/netherlands
Portugal,https://www.gov.uk/foreign-travel-advice/portugal
Spain,https://www.gov.uk/foreign-travel-advice/spain
Ireland,https://www.gov.uk/foreign-travel-advice/ireland
New Caledonia,https://www.gov.uk/foreign-travel-advice/new-caledonia
Solomon Islands,https://www.gov.uk/foreign-travel-advice/solomon-islands
New Zealand,https://www.gov.uk/foreign-travel-advice/new-zealand
Australia,https://www.gov.uk/foreign-travel-advice/australia
Sri Lanka,https://www.gov.uk/foreign-travel-advice/sri-lanka
China,https://www.gov.uk/foreign-travel-advice/china
Taiwan,https://www.gov.uk/foreign-travel-advice/taiwan
Italy,https://www.gov.uk/foreign-travel-advice/italy
Denmark,https://www.gov.uk/foreign-travel-advice/denmark
Iceland,https://www.gov.uk/foreign-travel-advice/iceland
Azerbaijan,https://www.gov.uk/foreign-travel-advice/azerbaijan
Georgia,https://www.gov.uk/foreign-travel-advice/georgia
Philippines,https://www.gov.uk/foreign-travel-advice/philippines
Malaysia,https://www.gov.uk/foreign-travel-advice/malaysia
Brunei,https://www.gov.uk/foreign-travel-advice/brunei
Slovenia,https://www.gov.uk/foreign-travel-advice/slovenia
Finland,https://www.gov.uk/foreign-travel-advice/finland
Slovakia,https://www.gov.uk/foreign-travel-advice/slovakia
Czechia,https://www.gov.uk/foreign-travel-advice/czech-republic
Eritrea,https://www.gov.uk/foreign-travel-advice/eritrea
Japan,https://www.gov.uk/foreign-travel-advice/japan
Paraguay,https://www.gov.uk/foreign-travel-advice/paraguay
Yemen,https://www.gov.uk/foreign-travel-advice/yemen
Saudi Arabia,https://www.gov.uk/foreign-travel-advice/saudi-arabia
Antarctica,https://www.gov.uk/foreign-travel-advice/antarctica-british-antarctic-territory
Cyprus,https://www.gov.uk/foreign-travel-advice/cyprus
Morocco,https://www.gov.uk/foreign-travel-advice/morocco
Egypt,https://www.gov.uk/foreign-travel-advice/egypt
Libya,https://www.gov.uk/foreign-travel-advice/libya
Ethiopia,https://www.gov.uk/foreign-travel-advice/ethiopia
Djibouti,https://www.gov.uk/foreign-travel-advice/djibouti
Uganda,https://www.gov.uk/foreign-travel-advice/uganda
Rwanda,https://www.gov.uk/foreign-travel-advice/rwanda
Bosnia and Herzegovina,https://www.gov.uk/foreign-travel-advice/bosnia-and-herzegovina
North Macedonia,https://www.gov.uk/foreign-travel-advice/north-macedonia
Republic of Serbia,https://www.gov.uk/foreign-travel-advice/serbia
Montenegro,https://www.gov.uk/foreign-travel-advice/montenegro
Kosovo,https://www.gov.uk/foreign-travel-advice/kosovo
Trinidad and Tobago,https://www.gov.uk/foreign-travel-advice/trinidad-and-tobago
South Sudan,https://www.gov.uk/foreign-travel-advice/south-sudan
